,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
595,86,"Wednesday, Jul 8",boxscore,BOS,,MIA,W,6,3,,41-45,5,5,Porcello,Koehler,Uehara,2:41,N,37009,++++,,2015
596,87,"Friday, Jul 10",boxscore,BOS,,NYY,L,1,5,,41-46,5,6.5,Pineda,Buchholz,,3:03,N,37984,-,,2015
597,88,"Saturday, Jul 11",boxscore,BOS,,NYY,W,5,3,,42-46,5,5.5,Rodriguez,Nova,Uehara,3:10,N,38047,+,,2015
598,89,"Sunday, Jul 12",boxscore,BOS,,NYY,L,6,8,,42-47,5,6.5,Eovaldi,Miley,,3:36,D,37283,-,,2015
599,90,"Friday, Jul 17",boxscore,BOS,@,LAA,L-wo,0,1,,42-48,5,7.5,Smith,Uehara,,2:24,N,43234,--,,2015
600,91,"Saturday, Jul 18",boxscore,BOS,@,LAA,L,0,3,,42-49,5,7.5,Richards,Porcello,,2:37,N,43631,---,,2015
601,92,"Monday, Jul 20 (1)",boxscore,BOS,@,LAA,L,1,11,,42-50,5,9,Santiago,Rodriguez,,3:05,D,42503,----,,2015
602,93,"Monday, Jul 20 (2)",boxscore,BOS,@,LAA,L,3,7,,42-51,5,9,Heaney,Wright,Smith,2:34,N,38042,-----,2015-07-19 (Rain),2015
603,94,"Tuesday, Jul 21",boxscore,BOS,@,HOU,L,3,8,,42-52,5,10,Velasquez,Johnson,,3:01,N,26913,------,,2015
604,95,"Wednesday, Jul 22",boxscore,BOS,@,HOU,L,2,4,,42-53,5,11,McHugh,Kelly,Gregerson,2:44,N,31104,-------,,2015
605,96,"Thursday, Jul 23",boxscore,BOS,@,HOU,L-wo,4,5,,42-54,5,12,Fields,Breslow,,3:31,N,30748,--------,,2015
606,97,"Friday, Jul 24",boxscore,BOS,,DET,W-wo,2,1,11,43-54,5,11,Masterson,Hardy,,3:42,N,37650,+,,2015
607,98,"Saturday, Jul 25",boxscore,BOS,,DET,L,1,5,,43-55,5,12,Simon,Wright,,2:57,D,37256,-,,2015
608,99,"Sunday, Jul 26",boxscore,BOS,,DET,W,11,1,,44-55,5,12,Rodriguez,Greene,,3:14,N,35582,+,,2015
609,100,"Monday, Jul 27",boxscore,BOS,,CHW,L,8,10,,44-56,5,13,Albers,Ross,Robertson,3:54,N,37401,-,,2015
610,101,"Tuesday, Jul 28",boxscore,BOS,,CHW,L,4,9,,44-57,5,14,Samardzija,Miley,,2:39,N,38063,--,,2015
611,102,"Wednesday, Jul 29",boxscore,BOS,,CHW,L,2,9,,44-58,5,14,Quintana,Porcello,,3:42,N,37104,---,,2015
612,103,"Thursday, Jul 30",boxscore,BOS,,CHW,W,8,2,,45-58,5,13,Wright,Sale,,2:40,N,36215,+,,2015
613,104,"Friday, Jul 31",boxscore,BOS,,TBR,W,7,5,,46-58,5,13,Tazawa,McGee,Uehara,3:13,N,36715,++,,2015
614,Gm#,August,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
615,105,"Saturday, Aug 1",boxscore,BOS,,TBR,W,11,7,,47-58,5,12,Kelly,Moore,Machi,3:39,D,35944,+++,,2015
616,106,"Sunday, Aug 2",boxscore,BOS,,TBR,L,3,4,,47-59,5,13,Geltz,Tazawa,Boxberger,3:10,D,35699,-,,2015
617,107,"Tuesday, Aug 4",boxscore,BOS,@,NYY,L,3,13,,47-60,5,14,Tanaka,Owens,,3:26,N,48522,--,,2015
618,108,"Wednesday, Aug 5",boxscore,BOS,@,NYY,W,2,1,,48-60,5,13,Wright,Severino,Uehara,2:51,N,47489,+,,2015
619,109,"Thursday, Aug 6",boxscore,BOS,@,NYY,L,1,2,,48-61,5,14,Wilson,Rodriguez,Miller,2:54,N,48608,-,,2015
620,110,"Friday, Aug 7",boxscore,BOS,@,DET,W,7,2,,49-61,5,13,Kelly,Norris,Uehara,3:30,N,38132,+,,2015
621,111,"Saturday, Aug 8",boxscore,BOS,@,DET,L,6,7,,49-62,5,13,Hardy,Tazawa,Rondon,3:11,N,42098,-,,2015
622,112,"Sunday, Aug 9",boxscore,BOS,@,DET,W,7,2,,50-62,5,12,Owens,Verlander,,3:22,D,38766,+,,2015
623,113,"Tuesday, Aug 11",boxscore,BOS,@,MIA,L-wo,4,5,10,50-63,5,12,Morris,Breslow,,3:30,N,31951,-,,2015
624,114,"Wednesday, Aug 12",boxscore,BOS,@,MIA,L,6,14,,50-64,5,12.5,Barraclough,Rodriguez,,3:07,D,26041,--,,2015
625,115,"Friday, Aug 14",boxscore,BOS,,SEA,W,15,1,,51-64,5,12.5,Kelly,Montgomery,,3:30,N,37678,+,,2015
626,116,"Saturday, Aug 15",boxscore,BOS,,SEA,W,22,10,,52-64,5,12.5,Miley,Hernandez,,3:21,D,36027,++,,2015
627,117,"Sunday, Aug 16",boxscore,BOS,,SEA,L,8,10,12,52-65,5,12.5,Rasmussen,Breslow,Farquhar,4:24,D,35260,-,,2015
628,118,"Monday, Aug 17",boxscore,BOS,,CLE,L,2,8,,52-66,5,13.5,Salazar,Barnes,,3:12,N,32701,--,,2015
629,119,"Tuesday, Aug 18",boxscore,BOS,,CLE,W,9,1,,53-66,5,13.5,Rodriguez,Bauer,,2:56,N,31907,+,,2015
630,120,"Wednesday, Aug 19",boxscore,BOS,,CLE,W,6,4,,54-66,5,13.5,Kelly,Kluber,Tazawa,3:09,N,32465,++,,2015
631,121,"Thursday, Aug 20",boxscore,BOS,,KCR,W,4,1,,55-66,5,12.5,Miley,Duffy,Tazawa,2:49,N,35458,+++,,2015
632,122,"Friday, Aug 21",boxscore,BOS,,KCR,W,7,2,,56-66,5,11.5,Owens,Cueto,,2:31,N,35203,++++,,2015
633,123,"Saturday, Aug 22",boxscore,BOS,,KCR,L,3,6,,56-67,5,12.5,Ventura,Barnes,Holland,3:29,N,37135,-,,2015
634,124,"Sunday, Aug 23",boxscore,BOS,,KCR,L,6,8,,56-68,5,13,Young,Tazawa,Davis,3:40,D,36151,--,,2015
635,125,"Monday, Aug 24",boxscore,BOS,@,CHW,W,5,4,,57-68,5,12.5,Kelly,Samardzija,Machi,3:10,N,18051,+,,2015
636,126,"Tuesday, Aug 25",boxscore,BOS,@,CHW,L,4,5,,57-69,5,13.5,Petricka,Miley,Robertson,3:00,N,14393,-,,2015
637,127,"Wednesday, Aug 26",boxscore,BOS,@,CHW,W,3,0,,58-69,5,13.5,Porcello,Jones,Tazawa,2:31,N,17812,+,,2015
638,128,"Friday, Aug 28",boxscore,BOS,@,NYM,W,6,4,10,59-69,5,13,Layne,Torres,Breslow,3:59,N,39401,++,,2015
639,129,"Saturday, Aug 29",boxscore,BOS,@,NYM,W,3,1,,60-69,5,13,Kelly,deGrom,Machi,2:51,D,43255,+++,,2015
640,130,"Sunday, Aug 30",boxscore,BOS,@,NYM,L,4,5,,60-70,5,14,Clippard,Ross,Familia,2:56,D,38938,-,,2015
641,131,"Monday, Aug 31",boxscore,BOS,,NYY,W,4,3,,61-70,5,13,Rodriguez,Nova,Machi,3:44,N,36148,+,,2015
642,Gm#,September,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2015
643,132,"Tuesday, Sep 1",boxscore,BOS,,NYY,L,1,3,,61-71,5,14,Pineda,Porcello,Miller,2:41,N,35077,-,,2015
644,133,"Wednesday, Sep 2",boxscore,BOS,,NYY,L,8,13,,61-72,5,15,Tanaka,Owens,,3:33,D,34416,--,,2015
645,134,"Friday, Sep 4",boxscore,BOS,,PHI,W,7,5,,62-72,5,14,Kelly,Morgan,Ross,3:22,N,33674,+,,2015
646,135,"Saturday, Sep 5",boxscore,BOS,,PHI,W,9,2,,63-72,5,14,Miley,Asher,,2:24,D,36534,++,,2015
647,136,"Sunday, Sep 6",boxscore,BOS,,PHI,W,6,2,,64-72,5,14,Rodriguez,Eickhoff,,2:57,D,34708,+++,,2015
648,137,"Monday, Sep 7",boxscore,BOS,,TOR,W,11,4,,65-72,4,13,Porcello,Buehrle,,2:48,D,33659,++++,,2015
649,138,"Tuesday, Sep 8",boxscore,BOS,,TOR,L,1,5,10,65-73,5,14,Sanchez,Ogando,,3:23,N,33432,-,,2015
650,139,"Wednesday, Sep 9",boxscore,BOS,,TOR,W,10,4,,66-73,5,13,Kelly,Hutchison,,3:31,N,34464,+,,2015
651,140,"Friday, Sep 11",boxscore,BOS,@,TBR,L,4,8,,66-74,5,14,Bellatti,Tazawa,,3:26,N,14796,-,,2015
652,141,"Saturday, Sep 12",boxscore,BOS,@,TBR,W,10,4,,67-74,5,14.5,Porcello,Moore,,2:56,N,20698,+,,2015
653,142,"Sunday, Sep 13",boxscore,BOS,@,TBR,W,2,0,13,68-74,5,13.5,Hembree,Romero,Ross,4:05,D,15402,++,,2015
