,Gm.,Date,Var.3,Tm,Var.5,Opp,W.L,R,RA,Inn,W.L.1,Rank,GB,Win,Loss,Save,Time,D.N,Attendance,Streak,Orig..Scheduled,Year
695,20,"Tuesday, Apr 26",boxscore,BOS,@,ATL,W,11,4,,9-Nov,2,0.5,Price,Wisler,,2:52,N,23487,+++,,2016
696,21,"Wednesday, Apr 27",boxscore,BOS,,ATL,W,9,4,,9-Dec,2,0.5,Wright,Norris,,3:02,N,33380,++++,,2016
697,22,"Thursday, Apr 28",boxscore,BOS,,ATL,L,3,5,,10-Dec,2,1.5,Chacin,Buchholz,Vizcaino,3:22,N,32232,-,,2016
698,23,"Friday, Apr 29",boxscore,BOS,,NYY,W,4,2,,13-10,2,1.5,Uehara,Betances,Kimbrel,2:50,N,37115,+,,2016
699,24,"Saturday, Apr 30",boxscore,BOS,,NYY,W,8,0,,14-10,2,0.5,Porcello,Pineda,,3:30,N,37901,++,,2016
700,Gm#,May,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled,2016
701,25,"Sunday, May 1",boxscore,BOS,,NYY,W,8,7,,15-10,1,up 0.5,Price,Nova,Kimbrel,3:17,N,34279,+++,,2016
702,26,"Tuesday, May 3",boxscore,BOS,@,CHW,L,1,4,,15-11,2,0.5,Quintana,Wright,Robertson,2:53,N,15025,-,,2016
703,27,"Wednesday, May 4",boxscore,BOS,@,CHW,W,5,2,,16-11,1,up 0.5,Buchholz,Rodon,Kimbrel,2:46,N,14383,+,,2016
704,28,"Thursday, May 5",boxscore,BOS,@,CHW,W,7,3,,17-11,1,up 0.5,Barnes,Johnson,,3:57,N,20126,++,,2016
705,29,"Friday, May 6",boxscore,BOS,@,NYY,L,2,3,,17-12,1,Tied,Yates,Porcello,Miller,3:10,N,45756,-,,2016
706,30,"Saturday, May 7",boxscore,BOS,@,NYY,L,2,8,,17-13,2,0.5,Eovaldi,Price,,3:09,D,47822,--,,2016
